,Unnamed: 0,data,insult,toxicity
0,0, #harassment38 K personnes publient à ce sujet#harassmentFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookD W K F V (D8)KWitchy Drummonds  · odtreSonspm4h a1c19654346m6o22g9um0274ve6luu1ba0erl702ml2 n0  · Partagé avec Groupe publicWhhoooaaaa …,0.014840514,0.31603265
1,1, Disrespectful #MeleKeanoHoOhukiBuchan The Fa**** Word Which Is F*** Inslutin Slur That Words Just Like Type Of #HARASSMENT … Voir plus0:00 / 0:26xDBz5i,0.1516387,0.75389385
2,2,comAmine3jMJqboG7c11SQv6Nzsq92kS0XqWwayqe9S9q16ti5xZcU0fPtej9QkCBZxLCDodtreSonspm4hMa1ca1654346m6f2og9um0r74em6luu1ra0 nl702aleLf79 916 commentairesJ’aimeCommenterPartagerFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookMedusa est à comté de Willacy,0.0010991441,0.046187967
3,3,  · odtreSonspm4hha1ca1654346m6f27g9um08741m6luu1 a07tl7024l31f7  · Partagé avec PublicAnnette C,0.00027384097,0.0033579983
4,4," Hinojosa, Willacy County and District Attorney  Judge Adolfo E",0.00022974974,0.0019990848
5,5," Cordova, Jr",0.00018383979,0.0008231833
6,6, of the 197th District Court Willacy County who are the real harasser’s here??? #willacycounty #whosthestalker #harassment0:00 / 2:14m,0.003771015,0.10793142
7,7,"meAmineXbfl48p9VaVFvPupwcu263IrIeqlBoodtreSonspm4hMa1ca1654346m6f2og9um0r74em6luu1ra0 nl702aleLf718 188 commentaires2 partagesJ’aimeCommenterPartagerFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookEast Side Community - Flint  · RejoindreAngel Fox  · eotdnsprSomar1m5:b0d12éef0hc 1a63752m7 2,2ta4 20a1m232uf306e2  · Partagé avec Groupe publicMr",0.0010216166,0.03331859
8,8, Holiday spirit is at it again except right in front of my house again #FlintMI #harassment0:00 / 0:31EOmf53OU,0.00024248331,0.0033361474
9,9,comAminengsMPzMR93yaWJZ52EizTB6TvOz7445jZAodtreSonspm4hMa1ca1654346m6f2og9um0r74em6luu1ra0 nl702aleLf713 1334 commentaires3 partagesJ’aimeCommenterPartagerFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookThe Pacific NewsroomDavid Robie  · Soprndtose688777dh211aé2ug0u11i16203t201al00rae3ucm  b40l52e  · Partagé avec Groupe publicFiji elections: Tabuya claims child ‘harassed’ by anti-corruption agencyFiji elections: Tabuya claims child ‘harassed’ by anti-corruption agency | #asiapacificreport Asia Pacific Report​ #fiji #fijielections #harassment #ficac #TheFijiTimes asiapacificreport,0.0010938373,0.031868313
10,10,"nzFiji elections: Tabuya claims child ‘harassed’ by anti-corruption agency | Asia Pacific ReportElectionsPacific ReportFijiHuman Rights Fiji elections: Tabuya claims child ‘harassed’ by anti-corruption agency By APR editor - December 8, 2022 0 4 SHARE Facebook Twitter tweet People’s Alliance deputy leader Lynda Tabuya ",0.00026692898,0.0034090152
11,11, ,0.0002450728,0.0019954408
12,12, ,0.0002450728,0.0019954408
13,13," FICAC's actions “just very shameful""",0.0013289966,0.03827342
14,14, Image: Eliki Nukutabu/Th,0.00018094527,0.0008165789
15,15,nan,0.0025706124,0.055718265
16,16,nan,0.0025706124,0.055718265
17,17,78 7830 commentaires6 partagesJ’aimeCommenterPartagerFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookRumored,0.00025720868,0.0038385484
18,18,"Pk  · Soprndtose688177 h511aj2ug0un1i162:3t201al00,av3uae00r40i50   · Partagé avec PublicActress Mehreen Shah accuses director Ehsan Zaidi of sexual harassment #mehreen #mehreenshah #pakistaniactress #pakistaniactresses #harassment #harassments0:00 / 4:20m",0.0012733659,0.057733703
19,19,meAmineTg1jPZCuc2HgOEB6v5xZKaYIU8wY9SABcXO5Cuyg9MZbQLDPcmKtdwzstgwynsRgSoprndtose688277ehr11aaeug0u11i162h3t201al00han3ur oL940l50M1 partageJ’aimeCommenterPartagerFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookArmy for TruthFrank Vyan Walton  · Soprndtose688777dh211aé2ug0u11i16203t201al00rae3ucm  b40l52e  · Partagé avec Groupe public#MichaelFanone #Insurrection #Heckling #Harassment https://youtu,0.0007968598,0.021755876
20,20,be/numNchz0gGoFormer Officer Michael Fanone said that he was heckled by members of the Washington D,0.003885139,0.06541575
21,21,C,0.0001899051,0.0010152067
22,22, Metro Police special operations division who were at the Jan,0.00018256843,0.0007240142
23,23, 6 Gold Medal Award ceremony on Tuesday for officers and their families who defended the Capitol,0.00017745454,0.0006202438
24,24,… Voir plusrawstory,0.00083814387,0.027902134
25,25,comFormer FBI official says DC cops who heckled Michael Fanone should quit and go work in a donut shopFormer Officer Michael Fanone said that he was heckled by members of the Washington D,0.0019698134,0.029744258
26,26,C,0.0001899051,0.0010152067
27,27, Metro Police special operations division who were at the Jan,0.00018256843,0.0007240142
28,28, 6 Gold Medal Award ceremony on Tuesday for officers and their families who defended the Capitol,0.00017745454,0.0006202438
29,29," Former counterintelligence officer for the FBI, Fran",0.00018374514,0.0007370313
30,30,nan,0.0025706124,0.055718265
31,31,nan,0.0025706124,0.055718265
32,32,"Sujets#Heckling#MichaelFanone#Harassment#Insurrection15 1532 commentaires6 partagesJ’aimeCommenterPartagerFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookMirror Now   · Soprndtose688177dh211aé2ug0u11i16203t201al00rae3ucm  b40l52e  · Partagé avec PublicSOUTH KOREAN WOMAN GROPED, HARASSED""This was my first time in India",0.01901358,0.39170966
33,33," I hope what happened with me, doesn't happen to anyone else,"" Mhyochi, Korean Youtuber speaks to Mirror Now's Radhika on the #Mumbai #Harassment incident #Korean #Youtuber0:00 / 2:28m",0.00017631105,0.0010210328
34,34,meAminedzHaFFhhP5DDp92BJMA2DXs8Orx9IEEzSoprndtose688277ehr11aaeug0u11i162h3t201al00han3ur oL940l50M54 5413 commentaires25 partagesJ’aimeCommenterPartagerFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFabianne Deacon était en direct,0.0019314389,0.097128585
35,35,"  · neSpodtosrd1uc81uu3 3 0m1284 :9,e3hab5r18147c2f20e1ui0mu1301é  · Partagé avec PublicNIRV GORILLA UNINTENTIONALLY BRINGS THE LAUGHS Don't get it twisted",0.0008471366,0.023769995
36,36,nan,0.0025706124,0.055718265
37,37,nan,0.0025706124,0.055718265
38,38,this guy is dangerous,0.001756187,0.09009194
39,39, But the lengths he goes to just to mess with people's heads is hilarious,0.002958689,0.12126634
40,40,#TargetedIndividuals #Harassment #Gangstalking #MindGames #CyberHarassment #Hacking (maybe) #TopSecret () #Emails0:00 / 27:19FSnr3x,0.0014432033,0.055170447
41,41,comAmineZ5S5HeSesPIXJtjPMc5hFWErsyvHdA3EvbIdI5w8q8GTtq3zqL5CUXJZowSoprndtose688277ehr11aaeug0u11i162h3t201al00han3ur oL940l50M4 413 commentaires39 partagesJ’aimeCommenterPartagerFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookFacebookSkoda KUSHAQ Club India  · RejoindreKaran Sehgal  · Soprndtose688277 h011aa2ug0u11i16223t201al00haû3uot25940l50   · Partagé avec Groupe publicPlz don't buy SKODA'S CARS,0.00078011025,0.021275876
42,42, DPM SKODA Dehradun sold me Skoda Kushaq by portraying false facts,0.00039269394,0.008539476
43,43, Then I made a complain regarding low average,0.0001801659,0.0007856382
44,44," How RUTHLESS DPM Skoda Dehradun team can be?Aganst my complain, they gave me Dents on my brand new car",0.0020859593,0.053189117
45,45," Different Color sprinkled on whole car, ceiling dismantled without any reeason, ceramic coating damaged",0.00021103612,0.0013562145
46,46,… Voir plusLeNOW3QY,0.0031457639,0.13438742
47,47,comPhotos de la publication de Karan SehgalxL9CcMZw9R2i0am9IWcy6XVNEDUmk3GiB5shpo0P0Y1f3Z66s43HtzPCxYyPzSoprndtose688277ehr11aaeug0u11i162h3t201al00han3ur oL940l50M22 2238 commentaires1 partageJ’aimeCommenterPartagerFacebookFacebookFacebookFacebookFacebookFacebookFacebook,0.00021622489,0.0015975679
